Jogos disputados;;;;
90;;;;
Média de gols por jogo;;;;
2,27;;;;
Gols marcados;;;;
204;;;;
Ambas as equipes marcaram;;;;
42;;;;
;Resultado do jogo ;Torneio;Fase;Estádio
15/out/24;Congo;CAN 2025 Prel. Comp.;Qualifying Round;Estádio Alphonse Massemba-Debat
;Congo;;;
;;;;
;África do Sul;;;
;África do Sul;;;
;;;;
;Final de partida;;;
;1;;;
;1;;;
11/out/24;África do Sul;CAN 2025 Prel. Comp.;Qualifying Round;Estádio de Port Elizabeth
;África do Sul;;;
;;;;
;Congo;;;
;Congo;;;
;;;;
;Final de partida;;;
;5;;;
;0;;;
10/set/24;Sudão do Sul;CAN 2025 Prel. Comp.;Qualifying Round;Estádio Juba
;Sudão do Sul;;;
;;;;
;África do Sul;;;
;África do Sul;;;
;;;;
;Final de partida;;;
;2;;;
;3;;;
06/set/24;África do Sul;CAN 2025 Prel. Comp.;Qualifying Round;Estádio de Orlando
;África do Sul;;;
;;;;
;Uganda;;;
;Uganda;;;
;;;;
;Final de partida;;;
;2;;;
;2;;;
02/jul/24;África do Sul;COSAFA Senior Challenge Cup 2024;Primeira fase;Estádio de Port Elizabeth
;África do Sul;;;
;;;;
;Essuatíni;;;
;Essuatíni;;;
;;;;
;Final de partida;;;
;1;;;
;0;;;
29/jun/24;África do Sul;COSAFA Senior Challenge Cup 2024;Primeira fase;Wolfson Stadium
;África do Sul;;;
;;;;
;Botsuana;;;
;Botsuana;;;
;;;;
;Final de partida;;;
;0;;;
;0;;;
26/jun/24;África do Sul;COSAFA Senior Challenge Cup 2024;Primeira fase;Estádio de Port Elizabeth
;África do Sul;;;
;;;;
;Moçambique;;;
;Moçambique;;;
;;;;
;Final de partida;;;
;1;;;
;1;;;
11/jun/24;África do Sul;Eliminatórias CAF da Copa do Mundo 26;1ª fase;Estádio de Free State
;África do Sul;;;
;;;;
;Zimbábue;;;
;Zimbábue;;;
;;;;
;Final de partida;;;
;3;;;
;1;;;
07/jun/24;Nigéria;Eliminatórias CAF da Copa do Mundo 26;1ª fase;Estádio Internacional Godswill Akpabio
;Nigéria;;;
;;;;
;África do Sul;;;
;África do Sul;;;
;;;;
;Final de partida;;;
;1;;;
;1;;;
26/mar/24;Argélia;FIFA Series - Algeria 2024;Tournament;Estádio Nelson Mandela
;Argélia;;;
;;;;
;África do Sul;;;
;África do Sul;;;
;;;;
;Final de partida;;;
;3;;;
;3;;;
21/mar/24;Andorra;FIFA Series - Algeria 2024;Tournament;Estádio 19 de Maio de 1956
;Andorra;;;
;;;;
;África do Sul;;;
;África do Sul;;;
;;;;
;Final de partida;;;
;1;;;
;1;;;
10/fev/24;África do Sul;Africa Cup of Nations 2023;Segunda fase;Estádio Felix Houphouet-Boigny
;África do Sul;;;
;;;;
;RD do Congo;;;
;RD do Congo;;;
;;;;
;Final de partida;;;
;-6;;;
;0;;;
;-5;;;
;0;;;
07/fev/24;Nigéria;Africa Cup of Nations 2023;Segunda fase;Estádio da Paz
;Nigéria;;;
;;;;
;África do Sul;;;
;África do Sul;;;
;;;;
;Final de partida;;;
;-4;;;
;1;;;
;-2;;;
;1;;;
03/fev/24;Cabo Verde;Africa Cup of Nations 2023;Segunda fase;Stade Charles Konan Banny de Yamoussoukro
;Cabo Verde;;;
;;;;
;África do Sul;;;
;África do Sul;;;
;;;;
;Final de partida;;;
;-1;;;
;0;;;
;-2;;;
;0;;;
30/jan/24;Marrocos;Africa Cup of Nations 2023;Segunda fase;Stade Laurent Pokou
;Marrocos;;;
;;;;
;África do Sul;;;
;África do Sul;;;
;;;;
;Final de partida;;;
;0;;;
;2;;;
24/jan/24;África do Sul;Africa Cup of Nations 2023;Primeira fase;Estádio Amadou Gon Coulibaly
;África do Sul;;;
;;;;
;Tunísia;;;
;Tunísia;;;
;;;;
;Final de partida;;;
;0;;;
;0;;;
21/jan/24;África do Sul;Africa Cup of Nations 2023;Primeira fase;Estádio Amadou Gon Coulibaly
;África do Sul;;;
;;;;
;Namíbia;;;
;Namíbia;;;
;;;;
;Final de partida;;;
;4;;;
;0;;;
16/jan/24;Mali;Africa Cup of Nations 2023;Primeira fase;Estádio Amadou Gon Coulibaly
;Mali;;;
;;;;
;África do Sul;;;
;África do Sul;;;
;;;;
;Final de partida;;;
;2;;;
;0;;;
21/nov/23;Ruanda;Eliminatórias CAF da Copa do Mundo 26;1ª fase;Estádio Huye
;Ruanda;;;
;;;;
;África do Sul;;;
;África do Sul;;;
;;;;
;Final de partida;;;
;2;;;
;0;;;
18/nov/23;África do Sul;Eliminatórias CAF da Copa do Mundo 26;1ª fase;Estádio Mbombela
;África do Sul;;;
;;;;
;Benim;;;
;Benim;;;
;;;;
;Final de partida;;;
;2;;;
;1;;;
17/out/23;Costa do Marfim;Friendly 2023;-;Estádio Felix Houphouet-Boigny
;Costa do Marfim;;;
;;;;
;África do Sul;;;
;África do Sul;;;
;;;;
;Final de partida;;;
;1;;;
;1;;;
13/out/23;África do Sul;Friendly 2023;-;Estádio Soccer City
;África do Sul;;;
;;;;
;Essuatíni;;;
;Essuatíni;;;
;;;;
;Final de partida;;;
;0;;;
;0;;;
16/jul/23;Maláui;COSAFA Senior Challenge Cup 2023;Segunda fase;Estádio Rei Zwelithini
;Maláui;;;
;;;;
;África do Sul;;;
;África do Sul;;;
;;;;
;Final de partida;;;
;-3;;;
;0;;;
;-5;;;
;0;;;
14/jul/23;África do Sul;COSAFA Senior Challenge Cup 2023;Segunda fase;Estádio Rei Zwelithini
;África do Sul;;;
;;;;
;Zâmbia;;;
;Zâmbia;;;
;;;;
;Final de partida;;;
;1;;;
;2;;;
11/jul/23;África do Sul;COSAFA Senior Challenge Cup 2023;Primeira fase;Princess Magogo Stadium
;África do Sul;;;
;;;;
;Essuatíni;;;
;Essuatíni;;;
;;;;
;Final de partida;;;
;2;;;
;1;;;
08/jul/23;África do Sul;COSAFA Senior Challenge Cup 2023;Primeira fase;Estádio Rei Zwelithini
;África do Sul;;;
;;;;
;Botsuana;;;
;Botsuana;;;
;;;;
;Final de partida;;;
;2;;;
;1;;;
05/jul/23;África do Sul;COSAFA Senior Challenge Cup 2023;Primeira fase;Estádio Rei Zwelithini
;África do Sul;;;
;;;;
